"","Season","Site","N","SampleCoverage","ObservedS","Hill_0","Hill_1","Hill_2","sampleCoverage_at_Estimation","NMDS1","NMDS2"
"1","ALL",1,799,0.9812,65,63.2551621220158,32.218139228967,21.4000005704056,0.979934259489525,-0.0665756681208448,-0.0634092623952073
"2","ALL",2,817,0.9817,68,66.2354212909938,33.0196902572093,19.3736425855232,0.979858830275603,-0.0832066833392182,-0.207891720946671
"3","ALL",3,671,0.9881,54,51.1747623905889,24.3871060225785,12.9310124983958,0.980467286712366,0.385826055623678,0.182832979096508
"4","ALL",4,752,0.9881,57,52.9794527049722,26.5243867162368,14.7098726361812,0.97911265400146,0.334316369109339,0.0735941138259984
"5","ALL",5,518,0.9691,54,64.9839242737492,25.8779565370254,12.9105146894814,0.979754299841093,0.349532276761715,-0.16423951089364
"6","ALL",6,634,0.9779,61,63.8278185237649,34.9495878749963,25.4183843154745,0.979846195242171,-0.13566594961971,0.265026737124184
"7","ALL",7,889,0.982,63,61.0938527367886,24.9541171468964,14.0512032020386,0.97980879105099,-0.174034469633426,-0.173621812185077
"8","ALL",8,611,0.9673,71,79.3851018703911,40.0563574147661,27.1987556438807,0.979668235239103,-0.610191930781532,0.0877084763739044
"9","Spring",1,484,0.9877,49,47.6449723371285,23.5809560602824,15.0895233069203,0.978942327916973,-0.0567950174467067,-0.0485392867150937
"10","Spring",2,453,0.978,53,54.0042278252056,28.4741801761931,16.8922900903642,0.980190514084752,-0.0567986470029727,-0.0485330189222336
"11","Spring",3,337,0.9824,41,40.6129730079411,17.88822291879,7.73126767671158,0.979063391984833,0.455025226783906,-0.118595701085355
"12","Spring",4,365,0.9727,41,42.8604295526687,18.4975207747514,10.5790430745096,0.978805894642597,0.45500362591725,-0.118563747909816
"13","Spring",5,265,0.9548,38,48.2283982578916,18.3681121005494,8.34566016128263,0.980595271501751,0.259952092869607,0.359306910475764
"14","Spring",6,333,0.9701,48,50.6404335276097,29.7697292208589,21.5731201894612,0.979587485783794,-0.0567356875189884,-0.0482893969201752
"15","Spring",7,410,0.9757,47,47.9841258096213,24.9392938910366,15.7475070824342,0.979539677397211,-0.464925215027848,0.267452892713496
"16","Spring",8,277,0.935,51,83.2622332011087,35.7354078020231,23.2366530705399,0.948026990239934,-0.534726378574247,-0.244238651636586
"17","Summer",1,174,0.943,41,45.5706409675732,33.3728681215634,26.6800612794731,0.979681012723452,-0.118509537969709,-0.144479200561733
"18","Summer",2,154,0.9354,34,42.6173979285042,25.8595678120722,16.8501544779845,0.980226615134836,0.126830831950559,-0.342031890506196
"19","Summer",3,172,0.9771,32,32.0229207157697,22.3057035343401,15.2254246011323,0.977409553909958,0.17495794432809,0.0831572928156557
"20","Summer",4,150,0.9405,34,38.522760461523,25.0940206229819,17.2379488612547,0.980645325601093,0.375264870786925,-0.0253433793590434
"21","Summer",5,139,0.9285,32,40.9106110782097,24.9613326437644,17.7168464884444,0.979830196747921,0.3447201441455,0.24013053167953
"22","Summer",6,183,0.9511,36,40.9004745441195,26.1628556434005,19.2301216089804,0.980853985674758,-0.0787189896384915,0.288538614427449
"23","Summer",7,335,0.9703,44,46.6275093692977,22.4552318122423,13.4042953734818,0.979662476102109,-0.202846773888129,-0.241129030659091
"24","Summer",8,209,0.938,38,52.0597024776893,25.7311532534674,17.4837580988753,0.979456575317738,-0.621698489714744,0.141157062163429
"25","Winter",1,141,0.88,39,57.1225641242041,30.8811868736731,20.9877542402703,0.970953350702554,-0.0409934398705711,-0.282569649034546
"26","Winter",2,210,0.9337,44,53.5650184960976,29.9539700893595,19.6099447470218,0.979198500775069,-0.0144920330059245,-0.246689838961531
"27","Winter",3,162,0.9447,25,33.4193904661442,11.0111937916702,5.02521138413728,0.979392675461766,-0.595017049234123,0.0787530122093534
"28","Winter",4,237,0.9665,35,37.0087196332511,22.1674795352311,15.5183187968641,0.979144567259528,-0.0855518459121559,-0.220293802708614
"29","Winter",5,114,0.922,28,33.0534197931667,19.506728556628,11.8333804409271,0.980905309848191,0.100494255833419,-0.0856212160250361
"30","Winter",6,118,0.8986,32,49.4552333400027,27.4750629401695,19.0937944398431,0.948182721834557,0.0320098949744183,0.283545808612916
"31","Winter",7,144,0.9106,33,40.1684983287215,15.4859862097669,6.92929770631355,0.979332222177991,0.00771249033824404,0.458022686230908
"32","Winter",8,125,0.8729,38,53.0121282906797,31.5195823756073,21.0747487346086,0.978086985019775,0.595837726876693,0.0148529996765492
